id_stayGPS,source_address,nm_prsn,stayGPS_start,stayGPS_end,stayGPS_x,stayGPS_y,stayGPS_duration,matched,wifi_id,spatial_dist,time_overlap,dist_to_nearest_sensor,nearest_sensor,dist_cat
1,00:5b:94:c3:90:bc,P096,2019-10-21T14:28:12Z,2019-10-21T14:33:42Z,398370.366497839,332933.444647037,330,FALSE,,,,26.3418981760871,sensor_202_front,<30m
4,00:5b:94:c3:90:bc,P096,2019-10-29T17:11:45Z,2019-10-29T17:16:25Z,398483.841705493,332820.191182347,280,FALSE,,,,29.2729824828869,sensor_lake,<30m
5,00:5b:94:c3:90:bc,P096,2019-10-29T17:21:30Z,2019-10-29T17:27:45Z,398482.816603003,332813.643160042,375,FALSE,,,,35.8422827700039,sensor_lake,30-50m
7,00:cd:fe:17:e0:d0,P083,2019-10-24T22:09:46Z,2019-10-24T22:15:06Z,398657.640928171,333221.424444251,320,FALSE,,,,7.55757215003649,sensor_PC_room_front,<30m
9,00:cd:fe:17:e0:d0,P083,2019-10-28T22:13:44Z,2019-10-28T22:16:49Z,398308.799559869,333287.092430599,185,FALSE,,,,49.3148716531487,sensor_dorm_front,30-50m
10,00:cd:fe:17:e0:d0,P083,2019-10-31T01:41:38Z,2019-10-31T01:45:58Z,398333.766462719,333240.841134851,260,FALSE,,,,3.79884385125136,sensor_dorm_front,<30m
11,00:cd:fe:17:e0:d0,P083,2019-11-12T16:30:16Z,2019-11-12T16:33:26Z,398604.994114721,332910.831680333,190,FALSE,,,,30.2620318805755,sensor_btw_201_102,30-50m
12,00:cd:fe:17:e0:d0,P083,2019-11-13T10:58:27Z,2019-11-13T11:04:27Z,398333.592116754,333243.377667686,360,FALSE,,,,3.11825921740162,sensor_dorm_front,<30m
18,08:ae:d6:11:24:7f,P067,2019-10-25T16:03:22Z,2019-10-25T16:06:42Z,398309.424658472,333266.899336953,200,FALSE,,,,32.0152164366639,sensor_dorm_front,30-50m
20,08:ae:d6:11:24:7f,P067,2019-10-28T21:03:36Z,2019-10-28T21:13:11Z,398464.791467506,333182.558572942,575,FALSE,,,,27.9047976282483,sensor_gym_front,<30m
21,08:ae:d6:11:24:7f,P067,2019-10-29T15:46:05Z,2019-10-29T15:49:10Z,398343.800141125,333238.817955512,185,FALSE,,,,13.8663368508862,sensor_dorm_front,<30m
22,08:ae:d6:11:24:7f,P067,2019-11-04T17:32:56Z,2019-11-04T17:42:11Z,398516.139037739,332865.855217824,555,FALSE,,,,29.49393504336,sensor_lake,<30m
23,08:ae:d6:11:24:7f,P067,2019-11-10T18:07:29Z,2019-11-10T18:11:09Z,398296.746749035,333273.21345612,220,FALSE,,,,45.438275461961,sensor_dorm_front,30-50m
24,08:ae:d6:11:24:7f,P067,2019-11-11T15:57:19Z,2019-11-11T16:02:39Z,398419.758347622,333222.333582399,320,FALSE,,,,10.1361292556494,sensor_cafeteria_dorm_side,<30m
28,08:ae:d6:23:d6:53,P104,2019-11-03T12:43:24Z,2019-11-03T12:47:14Z,398477.98070695,333066.036921459,230,FALSE,,152.382368480489,230,21.2891346609108,sensor_203_1st,<30m
29,08:ae:d6:23:d6:53,P104,2019-11-03T17:22:56Z,2019-11-03T17:51:11Z,398407.922354661,333019.718812264,1695,FALSE,,,,34.8748089234453,sensor_203_front,30-50m
32,08:ae:d6:23:d6:53,P104,2019-11-06T20:27:27Z,2019-11-06T20:31:32Z,398330.405536306,333230.092220476,245,FALSE,,,,12.7288336398157,sensor_dorm_front,<30m
33,08:ae:d6:23:d6:53,P104,2019-11-07T21:25:30Z,2019-11-07T21:41:00Z,398327.548818512,333224.25385162,930,FALSE,,,,18.8035224230631,sensor_dorm_front,<30m
34,08:ae:d6:23:d6:53,P104,2019-11-08T22:43:42Z,2019-11-08T22:57:22Z,398327.680001681,333225.187566987,820,FALSE,,,,17.860821846177,sensor_dorm_front,<30m
35,08:ae:d6:23:d6:53,P104,2019-11-08T23:17:27Z,2019-11-08T23:20:52Z,398333.059950389,333223.142270673,205,FALSE,,,,19.8409591388617,sensor_dorm_front,<30m
36,08:ae:d6:23:d6:53,P104,2019-11-13T20:29:53Z,2019-11-13T20:37:13Z,398329.458941933,333227.613759778,440,FALSE,,,,15.2439972987592,sensor_dorm_front,<30m
40,08:ae:d6:28:34:bb,P101,2019-10-29T15:39:50Z,2019-10-29T15:43:40Z,398386.913324493,333146.597014239,230,FALSE,,,,25.8158324487658,sensor_TMB_back,<30m
42,08:ae:d6:28:34:bb,P101,2019-10-30T15:13:35Z,2019-10-30T15:19:50Z,398464.804406412,333071.744157058,375,FALSE,,,,18.4773251010698,sensor_football_field_back,<30m
43,08:ae:d6:28:34:bb,P101,2019-10-30T15:25:30Z,2019-10-30T15:28:30Z,398470.181307014,333068.190300801,180,FALSE,,160.258946057299,180,23.0503166444425,sensor_football_field_back,<30m
46,08:ae:d6:28:34:bb,P101,2019-11-12T17:34:17Z,2019-11-12T17:37:17Z,398704.507439473,332931.826197268,180,FALSE,,,,9.64965010222894,sensor_bus_station,<30m
47,08:ae:d6:28:34:bb,P101,2019-11-14T15:40:59Z,2019-11-14T15:43:59Z,398448.403202424,333136.562155402,180,FALSE,,,,29.3203398218031,sensor_gym_in,<30m
51,08:ae:d6:4c:38:d9,P009,2019-11-04T11:02:09Z,2019-11-04T11:05:44Z,398710.206739463,332938.062174928,215,FALSE,,,,16.4737895321482,sensor_bus_station,<30m
53,08:ae:d6:4c:38:d9,P009,2019-11-11T12:22:28Z,2019-11-11T12:25:43Z,398382.655701329,332950.508629857,195,FALSE,,,,5.34568404915177,sensor_202_front,<30m
58,08:ae:d6:51:4d:85,P098,2019-11-05T18:37:18Z,2019-11-05T18:42:33Z,398522.692406499,332887.616913349,315,FALSE,,,,49.665547444731,sensor_lake,30-50m
61,08:ae:d6:5e:ec:bb,P092,2019-10-29T17:18:36Z,2019-10-29T17:28:21Z,398487.327271459,332819.998691833,585,FALSE,,,,28.6192943226483,sensor_lake,<30m
63,08:ae:d6:5e:ec:bb,P092,2019-11-01T10:05:43Z,2019-11-01T10:08:58Z,398466.047534492,333095.547534444,195,FALSE,,,,6.11597034186001,sensor_football_field_back,<30m
65,08:ae:d6:5e:ec:bb,P092,2019-11-01T16:09:53Z,2019-11-01T16:43:33Z,398431.448502855,333025.883658386,2020,FALSE,,,,15.6720666111457,sensor_203_front,<30m
66,08:ae:d6:5e:ec:bb,P092,2019-11-05T20:48:43Z,2019-11-05T20:57:28Z,398524.982309498,332875.686250686,525,FALSE,,,,42.5459658880442,sensor_lake,30-50m
69,08:ae:d6:63:49:ef,P031,2019-11-01T07:55:21Z,2019-11-01T08:27:16Z,398437.205126719,333037.475163143,1915,FALSE,,,,23.3606046069558,sensor_203_front,<30m
70,08:ae:d6:63:49:ef,P031,2019-11-01T08:34:46Z,2019-11-01T08:42:26Z,398383.32648665,332983.645738806,460,FALSE,,,,29.3667252019632,sensor_202_front,<30m
72,08:ae:d6:63:49:ef,P031,2019-11-01T12:59:33Z,2019-11-01T13:11:03Z,398397.072060222,333040.418485,690,FALSE,,,,42.5946029580766,sensor_114_inside,30-50m
73,08:ae:d6:63:49:ef,P031,2019-11-01T13:14:58Z,2019-11-01T13:30:28Z,398431.859827803,333053.533622129,930,FALSE,,,,40.2405576468056,sensor_203_front,30-50m
74,08:ae:d6:63:49:ef,P031,2019-11-02T08:00:36Z,2019-11-02T08:04:51Z,398438.239659795,333026.621421328,255,FALSE,,,,12.6310334987719,sensor_203_front,<30m
75,08:ae:d6:63:49:ef,P031,2019-11-03T16:32:24Z,2019-11-03T16:45:59Z,398409.992477123,333006.777188127,815,FALSE,,,,33.3979649071465,sensor_203_front,30-50m
76,08:ae:d6:63:49:ef,P031,2019-11-03T17:01:05Z,2019-11-03T17:09:30Z,398406.27227947,333035.234500004,505,FALSE,,,,41.582632891581,sensor_203_front,30-50m
77,08:ae:d6:63:49:ef,P031,2019-11-03T17:17:00Z,2019-11-03T17:26:00Z,398394.485327904,333004.225401739,540,FALSE,,,,49.0822809009162,sensor_203_front,30-50m
80,08:ae:d6:63:49:ef,P031,2019-11-05T20:48:49Z,2019-11-05T20:57:19Z,398526.476959213,332866.88449337,510,FALSE,,,,38.75286767228,sensor_lake,30-50m
81,08:ae:d6:63:49:ef,P031,2019-11-09T17:48:33Z,2019-11-09T17:51:38Z,398293.328328584,333238.780421842,185,FALSE,,,,37.4144764433642,sensor_dorm_front,30-50m
85,08:ae:d6:65:75:23,P028,2019-10-30T14:08:50Z,2019-10-30T14:20:10Z,398518.492904181,332814.94936524,680,FALSE,,,,42.1157249784235,sensor_lake,30-50m
86,08:ae:d6:65:75:23,P028,2019-11-01T00:06:41Z,2019-11-01T00:15:41Z,398456.441498459,332992.57397722,540,FALSE,,,,26.1929503579223,sensor_203_front,<30m
87,08:ae:d6:65:75:23,P028,2019-11-01T19:34:23Z,2019-11-01T19:37:28Z,398255.14711124,333229.35200355,185,FALSE,,,,18.5862941170571,sensor_parking_dorm,<30m
89,08:ae:d6:65:75:23,P028,2019-11-03T08:00:45Z,2019-11-03T08:04:50Z,398311.014592338,333270.734487255,245,FALSE,,,,34.0559688381742,sensor_dorm_front,30-50m
90,08:ae:d6:65:75:23,P028,2019-11-03T16:32:58Z,2019-11-03T16:42:03Z,398406.109921935,333013.187885854,545,FALSE,,,,36.35709795733,sensor_203_front,30-50m
91,08:ae:d6:65:75:23,P028,2019-11-05T17:50:20Z,2019-11-05T18:02:55Z,398516.423640794,332858.587139457,755,FALSE,,,,26.0506867295582,sensor_lake,<30m
93,08:ae:d6:65:75:23,P028,2019-11-12T18:02:19Z,2019-11-12T18:09:29Z,398485.982806451,332809.315582647,430,FALSE,,,,39.3731754831673,sensor_lake,30-50m
94,08:ae:d6:a4:5a:c3,P036,2019-10-22T12:17:03Z,2019-10-22T12:30:03Z,398378.014711074,333226.055073838,780,FALSE,,,,31.899229716139,sensor_cafeteria_dorm_side,30-50m
102,08:ae:d6:ab:44:71,P033,2019-11-03T16:39:58Z,2019-11-03T16:51:33Z,398414.257874224,333005.160857403,695,FALSE,,,,29.7506945287896,sensor_203_front,<30m
103,08:ae:d6:ab:44:71,P033,2019-11-03T17:13:41Z,2019-11-03T17:27:21Z,398403.710173247,333014.888929718,820,FALSE,,,,38.7254973391097,sensor_203_front,30-50m
104,08:ae:d6:ab:44:71,P033,2019-11-04T18:14:33Z,2019-11-04T18:22:13Z,398520.548997737,332850.288140602,460,FALSE,,,,28.0700631674694,sensor_lake,<30m
105,08:ae:d6:ab:44:71,P033,2019-11-04T18:24:43Z,2019-11-04T18:27:58Z,398492.933155745,332842.123566406,195,FALSE,,,,6.02314893611951,sensor_lake,<30m
106,08:ae:d6:ab:44:71,P033,2019-11-04T18:37:50Z,2019-11-04T18:57:25Z,398520.872766746,332883.136305624,1175,FALSE,,,,45.017723594604,sensor_lake,30-50m
108,08:d4:6a:e7:de:22,P045,2019-11-04T17:54:50Z,2019-11-04T18:00:00Z,398503.213315353,332881.244024137,310,FALSE,,,,34.780021893691,sensor_lake,30-50m
109,10:f1:f2:0c:51:dc,P063,2019-10-24T06:54:43Z,2019-10-24T06:59:48Z,398313.788063333,333299.702324892,305,FALSE,,,,55.5646000729583,sensor_cafeteria_dorm,50-100m
112,10:f1:f2:0c:51:dc,P063,2019-11-01T08:10:44Z,2019-11-01T08:27:09Z,398436.867675325,333045.279149149,985,FALSE,,,,31.0744241390551,sensor_203_front,30-50m
113,10:f1:f2:0c:51:dc,P063,2019-11-01T08:35:24Z,2019-11-01T08:50:49Z,398380.646084312,332978.821359937,925,FALSE,,,,25.0368569131,sensor_202_front,<30m
114,10:f1:f2:0c:51:dc,P063,2019-11-01T13:12:23Z,2019-11-01T13:29:38Z,398430.509953229,333054.547636696,1035,FALSE,,199.879189972609,177,41.5865870853403,sensor_203_front,30-50m
116,10:f1:f2:0c:51:dc,P063,2019-11-03T15:03:37Z,2019-11-03T15:26:17Z,398386.861884263,333026.214314179,1360,FALSE,,,,50.70917713392,sensor_btw_TMB_library,50-100m
117,10:f1:f2:0c:51:dc,P063,2019-11-03T15:28:17Z,2019-11-03T15:34:57Z,398387.641310829,333047.202471538,400,FALSE,,,,36.7486101026609,sensor_114_inside,30-50m
118,10:f1:f2:0c:51:dc,P063,2019-11-03T17:06:52Z,2019-11-03T17:14:47Z,398404.370413824,333042.557889341,475,FALSE,,,,41.3069452904227,sensor_114_inside,30-50m
119,10:f1:f2:0c:51:dc,P063,2019-11-03T17:26:44Z,2019-11-03T17:40:54Z,398402.404630309,333030.346563768,850,FALSE,,,,42.9770704624985,sensor_203_front,30-50m
121,10:f1:f2:0c:51:dc,P063,2019-11-04T19:12:22Z,2019-11-04T19:26:52Z,398518.285801395,332892.369178268,870,FALSE,,,,51.1700547548652,sensor_lake,50-100m
124,10:f1:f2:0c:51:dc,P063,2019-11-07T23:54:24Z,2019-11-07T23:58:14Z,398312.658690328,333270.120532176,230,FALSE,,,,32.6260979348019,sensor_dorm_front,30-50m
125,10:f1:f2:0c:51:dc,P063,2019-11-08T02:34:15Z,2019-11-08T02:43:50Z,398431.383377789,333242.532949872,575,FALSE,,,,27.9922746798735,sensor_cafeteria_dorm_side,<30m
127,10:f1:f2:0c:51:dc,P063,2019-11-09T01:47:24Z,2019-11-09T01:51:09Z,398411.404033812,333245.137429244,225,FALSE,,,,20.5836085722887,sensor_cafeteria_dorm_side,<30m
130,18:83:31:b4:0b:f5,P003,2019-10-30T12:28:58Z,2019-10-30T12:32:43Z,398354.549673781,333092.229170808,225,FALSE,,,,42.4213463966953,sensor_114_inside,30-50m
131,18:83:31:b4:0b:f5,P003,2019-11-04T12:29:35Z,2019-11-04T12:33:30Z,398336.788584716,333091.094135678,235,FALSE,,,,48.6242790243199,sensor_btw_TMB_library,30-50m
133,18:83:31:b4:0b:f5,P003,2019-11-11T12:26:21Z,2019-11-11T12:33:01Z,398345.460753979,333093.367153826,400,FALSE,,,,51.282574839147,sensor_btw_TMB_library,50-100m
137,2c:33:61:97:88:76,P024,2019-11-09T14:12:38Z,2019-11-09T14:16:23Z,398700.913809548,332938.343433534,225,FALSE,,,,8.71652434993546,sensor_bus_station,<30m
138,2c:33:61:97:88:76,P024,2019-11-13T11:45:49Z,2019-11-13T11:50:59Z,398310.139918116,333278.327491462,310,FALSE,,,,40.9421373055018,sensor_dorm_front,30-50m
139,38:ca:da:d5:b2:52,P013,2019-10-21T17:06:15Z,2019-10-21T17:10:20Z,398489.108824085,333100.152028626,245,FALSE,,,,27.7980685169477,sensor_football_field_back,<30m
140,38:ca:da:d5:b2:52,P013,2019-11-12T14:23:49Z,2019-11-12T14:26:54Z,398489.40664323,332813.462461873,185,FALSE,,,,34.8160273814087,sensor_lake,30-50m
141,38:ca:da:d5:b2:52,P013,2019-11-13T11:25:45Z,2019-11-13T11:33:25Z,398460.524286586,333012.692068754,460,FALSE,,,,18.2009780941366,sensor_203_front,<30m
142,3c:f7:a4:b0:5f:f5,P058,2019-11-05T22:19:06Z,2019-11-05T22:27:41Z,398508.906026024,332903.79865488,515,FALSE,,,,44.4288046193132,sensor_bridge_main_engineer,30-50m
143,48:60:5f:6b:68:e4,P059,2019-10-23T13:36:45Z,2019-10-23T13:40:55Z,398363.926293452,332763.42582081,250,FALSE,,,,54.63970755823,sensor_108_front_outside,50-100m
146,50:77:05:18:53:dd,P035,2019-11-03T15:35:34Z,2019-11-03T15:42:54Z,398392.589375716,333035.282206481,440,FALSE,,,,47.8347365646429,sensor_114_inside,30-50m
147,50:77:05:18:53:dd,P035,2019-11-03T15:55:49Z,2019-11-03T16:04:34Z,398386.847222988,333037.5663946,525,FALSE,,,,46.335870877396,sensor_114_inside,30-50m
149,50:77:05:18:53:dd,P035,2019-11-12T15:00:05Z,2019-11-12T15:05:25Z,398475.016682359,332832.255789811,320,FALSE,,,,23.6639352324081,sensor_lake,<30m
154,50:77:05:94:d9:78,P064,2019-10-30T14:10:57Z,2019-10-30T14:16:22Z,398353.567182147,332757.401019288,325,FALSE,,,,48.3862796169168,sensor_206_front,30-50m
159,50:77:05:94:d9:78,P064,2019-11-11T01:07:55Z,2019-11-11T01:14:20Z,398355.721225717,333242.068934288,385,FALSE,,,,25.2083939538634,sensor_dorm_front,<30m
160,50:77:05:94:d9:78,P064,2019-11-11T01:16:40Z,2019-11-11T01:24:40Z,398355.21789507,333230.403578593,480,FALSE,,,,27.6399453379984,sensor_dorm_front,<30m
164,50:77:05:bc:73:a0,P030,2019-10-24T09:31:55Z,2019-10-24T09:36:05Z,398437.670501374,333174.280720472,250,FALSE,,,,4.94660523187302,sensor_gym_front,<30m
165,50:77:05:bc:73:a0,P030,2019-10-30T12:11:06Z,2019-10-30T12:14:06Z,398433.366277442,333031.90821621,180,FALSE,,,,19.4450179584748,sensor_203_front,<30m
173,54:99:63:c6:9c:6a,P040,2019-10-23T17:36:36Z,2019-10-23T17:40:36Z,398534.088479563,332691.345043547,240,FALSE,,,,77.7296541727691,sensor_btw_104_106,50-100m
174,64:7b:ce:01:b5:04,P065,2019-10-23T15:01:23Z,2019-10-23T15:13:13Z,398232.816534048,332773.919338083,710,FALSE,,102.038228788145,173,65.5464230202109,sensor_202_back_further,50-100m
175,64:7b:ce:21:28:7a,P055,2019-11-05T15:56:43Z,2019-11-05T16:01:08Z,398701.435512026,332937.825807446,265,FALSE,,,,8.73729158735988,sensor_bus_station,<30m
176,64:7b:ce:21:28:7a,P055,2019-11-06T12:40:59Z,2019-11-06T12:44:59Z,398708.749653472,332930.550116978,240,FALSE,,,,13.971804209652,sensor_bus_station,<30m
177,64:7b:ce:21:28:7a,P055,2019-11-12T17:02:44Z,2019-11-12T17:10:19Z,398709.312385463,332924.828794642,455,FALSE,,,,16.1647378482515,sensor_bus_station,<30m
180,64:7b:ce:3a:af:36,P049,2019-10-22T17:55:40Z,2019-10-22T18:02:15Z,398365.183715582,333236.173400972,395,FALSE,,,,34.6009662302942,sensor_cafeteria_dorm,30-50m
181,64:7b:ce:3a:af:36,P049,2019-10-23T12:59:34Z,2019-10-23T13:04:59Z,398704.535716939,332937.763481849,325,FALSE,,,,11.2251230054168,sensor_bus_station,<30m
182,64:7b:ce:3a:af:36,P049,2019-10-24T18:39:10Z,2019-10-24T18:42:55Z,398480.347994185,332819.57052203,225,FALSE,,,,31.0663159899083,sensor_lake,30-50m
183,64:7b:ce:3a:af:36,P049,2019-10-29T18:46:29Z,2019-10-29T19:00:04Z,398707.893151034,332936.00098566,815,FALSE,,,,13.6118414865703,sensor_bus_station,<30m
184,64:7b:ce:3a:af:36,P049,2019-10-30T18:00:44Z,2019-10-30T18:08:09Z,398704.798100929,332931.767458892,445,FALSE,,,,9.94184210540916,sensor_bus_station,<30m
186,64:7b:ce:3a:af:36,P049,2019-11-03T17:32:12Z,2019-11-03T17:38:12Z,398406.455074356,333015.531497031,360,FALSE,,,,35.9896042279487,sensor_203_front,30-50m
187,64:7b:ce:3a:af:36,P049,2019-11-05T17:51:11Z,2019-11-05T17:54:31Z,398521.950135091,332851.045840375,200,FALSE,,,,29.5322970204669,sensor_lake,<30m
